Shaker,Python,10000,4.060304000042379
DualPivotQuickSort,Python,10000,0.0012977998703718185
Heap,Python,10000,0.0389527000952512
Merge,Python,10000,0.02410569996573031
Radix,Python,10000,0.025974299991503358
Shaker,Python,100000,477.80790349980816
DualPivotQuickSort,Python,100000,0.01563880010508001
Heap,Python,100000,0.5466954000294209
Merge,Python,100000,0.3083778000436723
Radix,Python,100000,0.3449534000828862
Shaker,Python,1000000,60191.537643600464
DualPivotQuickSort,Python,1000000,0.2979143999982625
Heap,Python,1000000,8.268974900012836
Merge,Python,1000000,4.29640239989385
Radix,Python,1000000,4.990451399935409
